task_id,sonnet-4,deepseek-v3,llama-3-3,mistral-3-2,gpt-4o,qwen3-coder,category,num_failed
BigCodeBench/101,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/1012,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/1015,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/1019,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/1039,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/1042,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/1057,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/1077,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/1129,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/1137,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/120,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/124,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/17,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/177,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/208,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/211,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/214,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/227,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/241,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/267,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/274,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/313,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/324,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/326,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/341,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/346,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/360,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/374,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/399,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/409,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/424,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/443,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/458,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/486,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/492,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/501,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/503,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/509,failed,failed,failed,failed,failed,failed,all_failed,6
