task_id,sonnet-4,deepseek-v3,gpt-4o,llama-3-3,mistral-3-2,qwen3-coder,category,num_failed
HumanEval/132,failed,failed,failed,failed,failed,failed,all_failed,6
HumanEval/130,failed,failed,failed,failed,failed,passed,mixed_failed,5
HumanEval/145,passed,failed,failed,failed,failed,failed,mixed_failed,5
HumanEval/163,passed,failed,failed,failed,failed,failed,mixed_failed,5
HumanEval/54,passed,failed,failed,failed,failed,failed,mixed_failed,5
HumanEval/101,passed,failed,failed,passed,failed,failed,mixed_failed,4
HumanEval/115,passed,passed,failed,failed,failed,failed,mixed_failed,4
HumanEval/127,passed,failed,failed,failed,failed,passed,mixed_failed,4
HumanEval/83,passed,failed,failed,failed,failed,passed,mixed_failed,4
HumanEval/108,passed,passed,failed,failed,failed,passed,mixed_failed,3
HumanEval/116,passed,failed,passed,failed,failed,passed,mixed_failed,3
HumanEval/160,passed,failed,failed,failed,passed,passed,mixed_failed,3
HumanEval/32,passed,failed,passed,failed,failed,passed,mixed_failed,3
HumanEval/102,passed,failed,passed,passed,failed,passed,mixed_failed,2
HumanEval/112,passed,passed,failed,failed,passed,passed,mixed_failed,2
HumanEval/121,passed,passed,passed,failed,failed,passed,mixed_failed,2
HumanEval/129,passed,failed,failed,passed,passed,passed,mixed_failed,2
HumanEval/134,passed,passed,failed,passed,failed,passed,mixed_failed,2
HumanEval/137,passed,passed,passed,failed,failed,passed,mixed_failed,2
HumanEval/140,passed,passed,failed,failed,passed,passed,mixed_failed,2
HumanEval/155,passed,passed,failed,passed,failed,passed,mixed_failed,2
HumanEval/16,passed,passed,failed,failed,passed,passed,mixed_failed,2
HumanEval/40,passed,failed,passed,failed,passed,passed,mixed_failed,2
HumanEval/65,passed,passed,failed,passed,failed,passed,mixed_failed,2
HumanEval/75,passed,passed,failed,passed,failed,passed,mixed_failed,2
HumanEval/76,passed,passed,passed,failed,failed,passed,mixed_failed,2
HumanEval/77,passed,passed,passed,failed,failed,passed,mixed_failed,2
HumanEval/91,passed,passed,failed,failed,passed,passed,mixed_failed,2
HumanEval/93,passed,passed,failed,passed,failed,passed,mixed_failed,2
HumanEval/10,passed,passed,passed,failed,passed,passed,mixed_failed,1
HumanEval/100,passed,passed,passed,failed,passed,passed,mixed_failed,1
HumanEval/106,passed,passed,passed,passed,passed,failed,mixed_failed,1
HumanEval/110,passed,passed,failed,passed,passed,passed,mixed_failed,1
HumanEval/118,passed,passed,passed,failed,passed,passed,mixed_failed,1
HumanEval/120,passed,passed,passed,passed,failed,passed,mixed_failed,1
HumanEval/125,passed,passed,failed,passed,passed,passed,mixed_failed,1
HumanEval/128,passed,passed,passed,failed,passed,passed,mixed_failed,1
HumanEval/131,passed,passed,passed,failed,passed,passed,mixed_failed,1
HumanEval/135,passed,passed,passed,passed,failed,passed,mixed_failed,1
HumanEval/142,passed,passed,passed,passed,failed,passed,mixed_failed,1
HumanEval/143,passed,passed,passed,failed,passed,passed,mixed_failed,1
HumanEval/146,passed,passed,passed,passed,failed,passed,mixed_failed,1
HumanEval/149,passed,passed,passed,failed,passed,passed,mixed_failed,1
HumanEval/158,passed,passed,failed,passed,passed,passed,mixed_failed,1
HumanEval/27,passed,passed,passed,failed,passed,passed,mixed_failed,1
HumanEval/56,passed,passed,failed,passed,passed,passed,mixed_failed,1
HumanEval/80,passed,passed,passed,passed,failed,passed,mixed_failed,1
HumanEval/84,passed,passed,passed,failed,passed,passed,mixed_failed,1
HumanEval/86,passed,passed,passed,failed,passed,passed,mixed_failed,1
HumanEval/88,passed,passed,passed,failed,passed,passed,mixed_failed,1
HumanEval/89,passed,passed,passed,passed,failed,passed,mixed_failed,1
HumanEval/0,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/1,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/103,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/104,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/105,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/107,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/109,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/11,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/111,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/113,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/114,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/117,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/119,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/12,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/122,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/123,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/124,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/126,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/13,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/133,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/136,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/138,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/139,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/14,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/141,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/144,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/147,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/148,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/15,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/150,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/151,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/152,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/153,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/154,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/156,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/157,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/159,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/161,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/162,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/17,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/18,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/19,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/2,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/20,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/21,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/22,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/23,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/24,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/25,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/26,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/28,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/29,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/3,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/30,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/31,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/33,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/34,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/35,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/36,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/37,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/38,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/39,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/4,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/41,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/42,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/43,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/44,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/45,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/46,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/47,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/48,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/49,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/5,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/50,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/51,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/52,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/53,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/55,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/57,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/58,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/59,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/6,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/60,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/61,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/62,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/63,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/64,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/66,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/67,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/68,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/69,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/7,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/70,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/71,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/72,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/73,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/74,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/78,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/79,passed,passed,passed,passed,passed,passed,all_passed,0
HumanEval/8,passed,passed,passed,passed,passed,passed,all_passed,0
