task_id,deepseek-v3,gpt-4o,llama-3-3,mistral-3-2,qwen3-coder,sonnet-4,category,num_failed
3674,failed,failed,failed,failed,failed,failed,all_failed,6
3687,failed,failed,failed,failed,failed,failed,all_failed,6
3736,failed,failed,failed,failed,failed,failed,all_failed,6
3763,failed,failed,failed,failed,failed,failed,all_failed,6
3794,failed,failed,failed,failed,failed,failed,all_failed,6
3805,failed,failed,failed,failed,failed,failed,all_failed,6
abc388_g,failed,failed,failed,failed,failed,failed,all_failed,6
abc389_e,failed,failed,failed,failed,failed,failed,all_failed,6
abc389_g,failed,failed,failed,failed,failed,failed,all_failed,6
abc390_d,failed,failed,failed,failed,failed,failed,all_failed,6
abc390_f,failed,failed,failed,failed,failed,failed,all_failed,6
abc391_g,failed,failed,failed,failed,failed,failed,all_failed,6
abc392_d,failed,failed,failed,failed,failed,failed,all_failed,6
abc395_f,failed,failed,failed,failed,failed,failed,all_failed,6
abc398_f,failed,failed,failed,failed,failed,failed,all_failed,6
abc398_g,failed,failed,failed,failed,failed,failed,all_failed,6
abc399_d,failed,failed,failed,failed,failed,failed,all_failed,6
abc399_e,failed,failed,failed,failed,failed,failed,all_failed,6
arc190_d,failed,failed,failed,failed,failed,failed,all_failed,6
arc191_c,failed,failed,failed,failed,failed,failed,all_failed,6
arc192_b,failed,failed,failed,failed,failed,failed,all_failed,6
arc192_d,failed,failed,failed,failed,failed,failed,all_failed,6
arc192_e,failed,failed,failed,failed,failed,failed,all_failed,6
arc193_b,failed,failed,failed,failed,failed,failed,all_failed,6
arc193_d,failed,failed,failed,failed,failed,failed,all_failed,6
arc194_a,failed,failed,failed,failed,failed,failed,all_failed,6
arc194_c,failed,failed,failed,failed,failed,failed,all_failed,6
arc195_c,failed,failed,failed,failed,failed,failed,all_failed,6
arc195_d,failed,failed,failed,failed,failed,failed,all_failed,6
arc195_e,failed,failed,failed,failed,failed,failed,all_failed,6
arc196_b,failed,failed,failed,failed,failed,failed,all_failed,6
arc196_d,failed,failed,failed,failed,failed,failed,all_failed,6
abc387_f,failed,failed,failed,failed,failed,failed,all_failed,6
abc390_g,failed,failed,failed,failed,failed,failed,all_failed,6
arc191_a,failed,failed,failed,failed,failed,failed,all_failed,6
3692,failed,failed,failed,failed,failed,passed,mixed_failed,5
3697,failed,passed,failed,failed,failed,failed,mixed_failed,5
3708,failed,failed,failed,failed,failed,passed,mixed_failed,5
3720,failed,passed,failed,failed,failed,failed,mixed_failed,5
3733,failed,failed,failed,failed,failed,passed,mixed_failed,5
3754,failed,failed,failed,failed,failed,passed,mixed_failed,5
3765,failed,failed,failed,failed,failed,passed,mixed_failed,5
abc387_c,failed,failed,failed,failed,passed,failed,mixed_failed,5
abc391_d,failed,failed,failed,failed,failed,passed,mixed_failed,5
abc393_d,passed,failed,failed,failed,failed,failed,mixed_failed,5
abc394_e,failed,failed,failed,failed,failed,passed,mixed_failed,5
abc394_f,failed,failed,failed,failed,failed,passed,mixed_failed,5
abc397_d,failed,failed,failed,failed,passed,failed,mixed_failed,5
abc400_c,passed,failed,failed,failed,failed,failed,mixed_failed,5
abc400_d,failed,passed,failed,failed,failed,failed,mixed_failed,5
arc190_a,failed,failed,failed,failed,failed,passed,mixed_failed,5
arc192_a,passed,failed,failed,failed,failed,failed,mixed_failed,5
arc194_b,failed,failed,passed,failed,failed,failed,mixed_failed,5
arc194_d,failed,failed,failed,failed,failed,passed,mixed_failed,5
arc196_a,failed,failed,failed,failed,passed,failed,mixed_failed,5
arc196_c,failed,failed,failed,failed,failed,passed,mixed_failed,5
3677,passed,passed,failed,failed,failed,failed,mixed_failed,4
3701,failed,failed,failed,failed,passed,passed,mixed_failed,4
3722,failed,failed,failed,failed,passed,passed,mixed_failed,4
