task_id,sonnet-4,deepseek-v3,gpt-4o,llama-3-3,mistral-3-2,qwen3-coder,category,num_failed
MBPP/398,failed,failed,failed,failed,failed,failed,all_failed,6
MBPP/430,failed,failed,failed,failed,failed,failed,all_failed,6
MBPP/630,passed,passed,passed,passed,passed,passed,all_failed,6
MBPP/119,failed,failed,failed,passed,failed,failed,mixed_failed,5
MBPP/126,passed,failed,failed,failed,failed,failed,mixed_failed,5
MBPP/260,failed,passed,failed,failed,failed,failed,mixed_failed,5
MBPP/579,failed,failed,passed,failed,failed,passed,mixed_failed,4
MBPP/615,failed,passed,failed,passed,failed,failed,mixed_failed,4
MBPP/124,failed,passed,failed,passed,passed,failed,mixed_failed,3
MBPP/755,failed,failed,passed,failed,passed,passed,mixed_failed,3
MBPP/145,passed,passed,failed,failed,passed,passed,mixed_failed,2
MBPP/255,passed,passed,passed,failed,failed,passed,mixed_failed,2
MBPP/391,passed,passed,passed,passed,failed,failed,mixed_failed,2
MBPP/409,passed,passed,passed,failed,failed,passed,mixed_failed,2
MBPP/57,passed,passed,failed,failed,passed,passed,mixed_failed,2
MBPP/743,passed,passed,failed,failed,passed,passed,mixed_failed,2
MBPP/103,passed,passed,passed,failed,passed,passed,mixed_failed,1
MBPP/105,passed,passed,failed,passed,passed,passed,mixed_failed,1
MBPP/11,passed,passed,passed,passed,failed,passed,mixed_failed,1
MBPP/123,passed,passed,passed,failed,passed,passed,mixed_failed,1
MBPP/132,passed,passed,passed,failed,passed,passed,mixed_failed,1
MBPP/16,passed,passed,passed,failed,passed,passed,mixed_failed,1
MBPP/170,passed,passed,passed,failed,passed,passed,mixed_failed,1
MBPP/20,failed,passed,passed,passed,passed,passed,mixed_failed,1
MBPP/244,passed,passed,passed,failed,passed,passed,mixed_failed,1
MBPP/259,passed,passed,passed,failed,passed,passed,mixed_failed,1
MBPP/268,passed,passed,passed,failed,passed,passed,mixed_failed,1
MBPP/270,passed,passed,passed,failed,passed,passed,mixed_failed,1
MBPP/273,passed,passed,failed,passed,passed,passed,mixed_failed,1
MBPP/276,passed,passed,passed,failed,passed,passed,mixed_failed,1
MBPP/300,passed,passed,failed,passed,passed,passed,mixed_failed,1
MBPP/301,passed,passed,passed,passed,passed,failed,mixed_failed,1
MBPP/306,passed,passed,passed,passed,failed,passed,mixed_failed,1
MBPP/392,passed,passed,passed,failed,passed,passed,mixed_failed,1
MBPP/432,passed,failed,passed,passed,passed,passed,mixed_failed,1
MBPP/440,passed,failed,passed,passed,passed,passed,mixed_failed,1
MBPP/455,passed,passed,passed,passed,failed,passed,mixed_failed,1
MBPP/473,passed,passed,passed,failed,passed,passed,mixed_failed,1
MBPP/554,passed,passed,passed,passed,failed,passed,mixed_failed,1
MBPP/559,passed,passed,passed,passed,failed,passed,mixed_failed,1
MBPP/580,passed,passed,passed,passed,failed,passed,mixed_failed,1
MBPP/597,passed,failed,passed,passed,passed,passed,mixed_failed,1
MBPP/603,failed,passed,passed,passed,passed,passed,mixed_failed,1
MBPP/614,passed,passed,passed,passed,failed,passed,mixed_failed,1
MBPP/616,passed,passed,passed,failed,passed,passed,mixed_failed,1
MBPP/620,passed,passed,passed,failed,passed,passed,mixed_failed,1
MBPP/622,passed,passed,passed,passed,failed,passed,mixed_failed,1
