task_id,failure_analysis,category
BigCodeBench/101,"The task is to generate a Seaborn correlation heatmap of the Boston Housing dataset and return the plot object, with an option to save the figure. Across models, failures stemmed from two consistent mismatches with the task and tests: correctly parsing the Boston dataset’s unusual two-line format and restricting the heatmap to the 13 feature columns (no target) with no titles or labels. deepseek-v3, mistral-3-2, and qwen3-coder misread the file layout as a simple table, so they couldn’t even build the right data; gpt-4o got close but mislabeled the columns to include a target, which broke shapes and would also have spoiled the expected 13×13 correlations; llama-3-3 and sonnet-4 ignored the provided URL and relied on a removed external loader, so they failed early and, even if they hadn’t, they planned to include the target and add a title. Several models (e.g., deepseek-v3, gpt-4o, sonnet-4) also added plot titles or masks that conflict with the tests, which expect a full 13×13 correlation matrix and empty titles/labels. In short, small divergences from the prompt’s constraints and the tests’ strict expectations—especially the file’s structure, excluding the target, and leaving the plot unlabeled—cascaded into consistent failures across models.","Flawed/Incomplete Algorithm, Wrong Problem Mapping"
BigCodeBench/1012,"The task is to download a ZIP file from a given URL, extract its contents, and return a status message with the list of extracted files. Across models, most failures stem from not honoring the task’s strict message contract and the tests’ expectations: deepseek-v3, gpt-4o, mistral-3-2, and qwen3-coder return a generic “Success” instead of the required “Download and extraction successful,” while gpt-4o, qwen3-coder, sonnet-4, llama-3-3, and mistral-3-2 mishandle non-200 responses, producing generic errors (or unzip errors) rather than the mandated “Download failed …”. Llama-3-3 gets the success message right but still ignores the non-200 branch; mistral-3-2 also shows brittle cleanup that crashes under network errors. These behaviors suggest a common misunderstanding: treating all bad outcomes as generic exceptions instead of following the specific status messaging rules called out in the prompt and implicitly enforced by the tests. The test design (mocking only the HTTP status and not fully emulating response content/raise-for-status) intentionally pressures solutions to check status codes explicitly, exposing approaches (e.g., gpt-4o, qwen3-coder, sonnet-4) that proceed as if a normal response exists. Overall, the prompt’s phrasing requirements and the tests’ targeted assertions are clear but unforgiving; models that didn’t align their messages precisely—or that failed to separate HTTP failures from extraction errors—fell short.","Formatting Mistakes, Edge Case Mishandling"
BigCodeBench/1015,"The task is to parse an HTML table from either a webpage or local file and store its contents into an SQLite database, returning the number of rows extracted. Across submissions, most failures trace to two themes: brittle table parsing choices and mishandling of file:// inputs under the test setup. deepseek-v3, gpt-4o, llama-3-3, and mistral-3-2 all leaned on pandas’ HTML parser, which in this environment requires a newer BeautifulSoup than is installed, so they crashed on an import error rather than gracefully handling empty or simple tables. gpt-4o and llama-3-3 also treated file:///… like a web URL, triggering “no connection adapter” or file-load errors; sonnet-4 tried to detect local files but then rejected the mocked file:// path before reading it; qwen3-coder misclassified file:// as a URL and also surfaced parsing errors as database errors. Several models (qwen3-coder, sonnet-4) returned the wrong exception type, and a few included a stray stubbed function definition, hinting at rushed assembly. The prompt and tests introduce subtle traps: local files are provided only as file:// URIs, HTTP responses are mocked via the .content attribute (not .text), and the environment intentionally makes pandas’ HTML helper unreliable—so approaches that depend on those assumptions fail consistently.",Flawed/Incomplete Algorithm
BigCodeBench/1019,"The task is to extract text from an image using OCR, convert it between encodings, and if OCR fails, fall back to the image’s embedded comment. Across models, most failures stem from mishandling the task’s control flow and error policy rather than OCR itself: the prompt expects “try OCR → if nonempty convert → on conversion errors raise ValueError → else fall back to the image comment → finally return empty string,” and the tests enforce that with mocked images and comments. deepseek-v3 and llama-3-3 broadly catch/transform errors or misuse the fallback, so real encoding problems don’t surface as the required ValueError and valid comments get ignored. sonnet-4 suppresses the very ValueError the tests demand when OCR conversion is wrong, then fails to return the available comment. mistral-3-2 and qwen3-coder interact poorly with the mocked objects, so instead of real strings they bubble mock placeholders, which the assertions reject; qwen3-coder also muddles the notion of “convert from X to Y,” leading to inconsistent outputs. gpt-4o adds an unnecessary file-existence check, conflicting with the test harness that uses dummy paths, so everything aborts early. Overall, the common pattern is deviation from the specified “raise only on encoding-conversion errors, otherwise fall back or return empty,” plus fragile handling of the provided (mocked) metadata; the prompt and tests are consistent, but they assume no extra filesystem checks and precise, minimal exception behavior.",Flawed/Incomplete Algorithm
BigCodeBench/1039,"The task is to secure a client socket with SSL/TLS, receive a requested file path, and return the file’s SHA256 hash or an error message. Across models, most failures stem from small mismatches with strict tests rather than core functionality: deepseek-v3 and mistral-3-2 behaved reasonably but didn’t satisfy the test’s exact expectations for how a response must be sent and how the error text must be worded; gpt-4o also missed a required cleanup step during errors; llama-3-3 computed results but didn’t actually send a response back to the client; sonnet-4 returned clear errors yet failed to close the secure connection on exceptions; and qwen3-coder was closest to passing but lost points for the precise error string format. A recurring quirk is that several models emitted a redundant stub before the real function, hinting at generation noise. Overall, the prompt is straightforward, but the tests are unusually opinionated—they demand a specific send method, an exact error phrase, and guaranteed socket closing—so otherwise sensible approaches were marked wrong due to these tight, inflexible checks.","Flawed/Incomplete Algorithm, Formatting Mistakes, Edge Case Mishandling"
BigCodeBench/1042,"The task is to receive a message from a client socket and forward it as an email through an SMTP server. Across all models, failures largely stem from breaking the prompt’s I/O contract and clashing with the tests’ expectations: most models (deepseek-v3, llama-3-3, mistral-3-2, qwen3-coder, sonnet-4, and gpt-4o) asked for sender/recipient via input rather than getpass, which the harness doesn’t mock, causing immediate read errors and preventing any SMTP call, acknowledgment, or clean socket close; additionally, gpt-4o and sonnet-4 swallowed exceptions, so an injected SMTPConnectError never surfaced (the tests require it), and several didn’t send the required “Message sent.” response or guarantee closing the socket, leading to further assertion failures; finally, there’s a small spec/test mismatch—tests demand skipping email send on an empty message, while the provided canonical snippet doesn’t show that guard—so even near-correct approaches would still fail without that behavior.",Flawed/Incomplete Algorithm
BigCodeBench/1057,"The task is to create a pandas DataFrame showing all animal–food combinations in an ""animal:food"" format, using defaults or empty outputs depending on the inputs. All models failed for broadly the same reasons: they misread the special-case rules and used the wrong defaults. The prompt is misleading—it says returning an empty DataFrame when lists are “empty or not provided,” but the tests expect the opposite for “not provided” (use large defaults to get a 10×7 grid). Deepseek-v3, Llama-3-3, Mistral-3-2, and Qwen3-coder all treated “not provided” as empty, immediately producing empty outputs; GPT-4o and Sonnet-4 also replaced empty inputs with small ad-hoc defaults (3×3 or 5×5), so shapes never matched what the tests enforce. Several models (e.g., GPT-4o, Sonnet-4) computed shuffled combinations but didn’t actually rely on them, hinting at spec drift rather than precise requirement tracking. Sonnet-4 further showed a logic-ordering glitch that made its empty-input check ineffective, yielding the same wrong result for multiple scenarios. Across the board, the root cause is ambiguity between “None” vs [] and ignoring the exact default sizes implied by the tests; once those two points are off, every downstream assertion fails. In short, the failures reflect a prompt–test inconsistency that required prioritizing the tests, plus casual default choices by the models that guaranteed shape mismatches.",Flawed/Incomplete Algorithm
BigCodeBench/1077,"The task is to calculate the average time difference in seconds between consecutive timestamps in a list after converting them to a specified timezone. Across models, the failures mostly stem from ignoring the specified timestamp format and the task’s simple sequencing logic rather than any flaw in the prompt or tests. The docs clearly state inputs like “dd/mm/yy HH:MM:SS.fff” and ask for average absolute gaps after timezone conversion, yet gpt-4o, mistral-3-2, qwen3-coder, and sonnet-4 all assumed ISO timestamps, so they crashed on parsing; llama-3-3 also used the wrong pattern and would have produced incorrect gaps even if it had parsed; and deepseek-v3 silently skipped unparsed items, collapsing to 0.0 in every case. A few approaches (notably llama-3-3 and deepseek-v3) also conflated “assigning” a timezone with “converting” to one, which would distort results if parsing had succeeded. The test suite is coherent (including out-of-order inputs and day boundaries), and the only subtlety is that the reference treats inputs as UTC before conversion; however, this wasn’t the primary cause—the predominant issue was models overriding the stated input format and requirements.","Flawed/Incomplete Algorithm, Formatting Mistakes"
BigCodeBench/1129,"The task is to parse a JSON string, fetch a file from a URL inside it, and save the file locally with a timestamped name. The task is to parse a JSON string, fetch a file from a URL inside it, and save the file locally with a timestamped name. Overall, the models failed for predictable, test-harness reasons rather than core logic: the tests stub the network call with a very minimal mock, but several models (deepseek-v3, gpt-4o, llama-3-3, mistral-3-2, qwen3-coder, sonnet-4) added “real-world” robustness (extra HTTP checks, streaming, etc.) that the mock didn’t support, causing crashes. A second recurring mismatch was error handling: the tests implicitly require a specific missing-key exception, while deepseek-v3 and llama-3-3 converted it to a different error type, so they failed even before file writing mattered. Sonnet-4 also chose a text-saving approach, which conflicts with the test’s expectation of raw bytes. There’s nothing fundamentally wrong with the prompt, but it doesn’t spell out these testing constraints; the testcases are strict in subtle ways (minimal mock, exact exception type, byte content), so “defensive” additions that would be sensible in production backfired here. A minor oddity is that several responses duplicated the function definition, which isn’t fatal but signals generation noise.",Flawed/Incomplete Algorithm
BigCodeBench/1137,"The task is to extract phone numbers from a webpage or local file and save them in a JSON file. Across models, most failures stem from a simple mismatch with the test setup: every input is a local file passed as a file:// URL, while several models either treated it as a normal path or as an HTTP link, so they read nothing and returned empty lists (gpt-4o, llama-3-3, mistral-3-2) or even crashed on “invalid schema” (qwen3-coder). deepseek-v3 went further by reformatting numbers instead of returning the raw strings the tests expect, and also skipped writing the JSON output on error, which triggered missing-file assertions; sonnet-4’s code was incomplete and returned None. The tests are straightforward but strict: they require recognizing file://, preserving the exact +... numbers in order, and always writing the JSON file—even when no numbers are found. Nothing is wrong with the prompt or testcases, but the subtle “local file via URL” requirement and “no reformatting” expectation tripped most approaches.",Flawed/Incomplete Algorithm
