task_id,failure_analysis,category
3674,"The task is to count how many subarrays can be made non-decreasing if, for each subarray independently, you may increase elements by at most k total increments. All models failed by miscalculating the cost of making a subarray non-decreasing. They treated it as the sum of local drops, ignoring that increments propagate forward, requiring elements to be raised to the running maximum. This represents a clear case of algorithmic misunderstanding.",Flawed/Incomplete Algorithm
3687,"The task is to find the longest ancestor-to-descendant path whose node values are all distinct (maximizing total edge length), and among all such longest paths, report the minimum number of nodes on one. Models mapped the problem to familiar tree tasks (e.g., diameter) instead of respecting the ancestor–descendant restriction with uniqueness. They either merged branches or mishandled duplicates, failing to use the required sliding-window approach. This reflects misgeneralization to the wrong problem class.",Wrong Problem Mapping
3736,"The task is to find the first adjacent unequal digit pair where each digit’s total frequency in the string equals its numeric value, returning that pair or """" if none. Here, the algorithms were correct, but all models failed the output specification. The prompt required returning results as string literals (e.g., ""23""), but models returned unquoted digits. This shows a weakness in attention to I/O details, particularly when the required output format is uncommon.",Formatting Mistakes
3763,"This task asks you to find the lowest horizontal line that splits a set of axis-aligned squares into two equal-area parts. The benchmark shows two distinct error modes: some models (DeepSeek, LLaMA) essentially implemented the right binary search on the cumulative area function but returned the wrong bound due to rounding and boundary bias, giving answers like 0.9999999 instead of the expected 1.0. Others (GPT-4o, Mistral, Qwen, Sonnet) mis-modeled the geometry by treating square contributions as discrete area jumps at event heights rather than as piecewise-linear slopes, or by anchoring their interpolation to the wrong values, leading to incorrect results such as 2.0 or 0. Overall, the failures highlight two common weaknesses: difficulty with numerical precision/formatting in problems requiring continuous search, and a tendency to oversimplify geometric accumulation into step functions, which misses the true linear growth of area between events.","Flawed/Incomplete Algorithm, Formatting Mistakes"
3794,"The task asks for the minimum total time to brew a sequence of potions, each of which must pass through all wizards in order without waiting between them. In this benchmark instance, the problem is a no-wait flow shop, but most models solved it as a buffered flow shop where potions can wait between wizards. This explains why several outputs (e.g., 58, 88) were consistently lower than the expected 110: allowing waiting reduces makespan but violates the prompt's constraint. DeepSeek diverged further, treating the setup like parallel independent machines, which gave the implausibly small output (8). These responses show a tendency to map novel scheduling problems onto familiar templates (e.g., standard flow shop DP) instead of internalizing the crucial no-wait detail. Overall, the errors reveal two weaknesses: (1) pattern over-generalization leading to structurally wrong solutions, and (2) a bias toward producing smaller, seemingly plausible outputs that fit the easier but incorrect variant of the problem.",Wrong Problem Mapping
3805,"The task asks us to maximize the number of active sections (1's) in a binary string by performing at most one trade: delete a 1-block between 0’s, then flip the merged 0-block into 1’s. The benchmark reveals that most models failed because they did not fully capture the two-step causal effect of the operation. DeepSeek assumed a trade is always possible and overcounted, producing outputs larger than allowed. GPT-4o and Sonnet considered flipping zero-blocks but ignored how deleting a 1-block merges its neighboring zeros, leading to undercounts. Qwen came closest but still dropped the contribution of the deleted 1-block inside the merged zero-block. LLaMA and Mistral misunderstood the operation entirely, modeling it as arbitrary segment toggling or block counting, producing structurally wrong answers. The uniform error pattern shows models tended to simplify the task into familiar string-edit operations and overlooked the unusual merge effect at the heart of the rule, causing systematically smaller or otherwise incorrect outputs.","Flawed/Incomplete Algorithm, Wrong Problem Mapping"
abc387_f,"The task asks us to count how many ways we can assign values from 1 to M to N nodes of a graph, where each node’s value must not exceed the value of the node it points to. This forms functional graphs with cycles and in-trees, where all cycle nodes must share one value. In this benchmark, most models failed because they either misclassified the graph as a DAG (GPT-4o, Mistral, Sonnet) or used a standard DP template that cannot enforce cycle equality (DeepSeek, GPT-4o). Others (Qwen, LLaMA) recognized cycles but either abandoned the computation or attempted infeasible bitmask approaches. This led to systematically wrong outputs like 0, 4, or 10 instead of the correct 6. The errors reveal a common weakness: models tend to map unfamiliar functional-graph constraints onto easier, familiar structures (like DAGs or prefix DPs), while failing to internalize the crucial cycle condition that all cycle nodes must share one value.","Flawed/Incomplete Algorithm, Wrong Problem Mapping"
abc388_g,"This task asks, for each query on a sorted list of mochi sizes, to find the maximum number of disjoint pairs where the smaller is at most half the size of the larger. The benchmark shows that most models misinterpreted this as either counting all valid pairs (GPT-4o) or using a wrong greedy strategy that failed to ensure disjointness (DeepSeek, Qwen3, Sonnet, Mistral). LLaMA compounded this with I/O handling issues while also relying on a nonstandard greedy. The recurring error pattern is that models tended to solve a superficially similar but easier variant—like counting feasible pairs or making the earliest/largest possible match—rather than the true maximum matching problem. This highlights a weakness in correctly internalizing the matching/disjointness requirement, leading to systematic under- or over-counting in their outputs.",Flawed/Incomplete Algorithm
abc389_e,"This task asks: given N product types where buying k units of type i costs k^2 times P_i, and a budget M, find the maximum total units purchasable. A well-known approach is to observe that each additional unit has a marginal cost of (2k+1) times P_i, so an effective strategy is to always purchase the globally cheapest next unit, which can be implemented with a heap. In this benchmark, however, the models consistently failed because they misrepresented the cost structure: some treated the problem as if each product had to be bought in equal blocks, ignoring price differences; others attempted greedy or heap-based methods but miscomputed costs, either by mixing total and marginal costs or by summing block costs instead of per-unit increments. The result was systematic under- or over-counting of units, for example outputs of 0, 1, 2, or 5 instead of the correct 3, revealing a shared weakness: difficulty in properly handling convex, marginal-cost optimization, even when the heap-based greedy pattern was partially recognized.","Flawed/Incomplete Algorithm, Wrong Problem Mapping"
abc389_g,"This task asks: for even N, count connected labeled graphs with M edges where BFS from vertex 1 yields equal numbers of vertices at even and odd distances, modulo a prime P. The benchmark reveals that most models struggled heavily: DeepSeek tried to reduce the condition to balanced bipartite partitions but ignored connectivity and intra-part edges, leading to severe undercounting, for example outputting 12 3 0 0 instead of 12 9 3 0. Mistral misinterpreted the graph space by iterating over vertex masks rather than edge subsets, producing only zeros. Qwen3 built scaffolding for modular arithmetic but never implemented the actual counting, defaulting to zero for larger cases. GPT-4o, LLaMA, and Sonnet failed even earlier by not returning a usable function at all. The consistent theme is that the models either oversimplified the structural condition to something much weaker, namely bipartite partitioning, or failed to handle the inherent combinatorial complexity of counting connected graphs with layered BFS parity constraints.",Flawed/Incomplete Algorithm
